station_id,eva,gtfs_name,db_name,method,score
de:08336:6606,08002797,Herten (Baden) Bahnhof,Herten (Baden),timetable,1.0
de:08336:6578,08005064,Rheinfelden (Baden) Bahnhof,Rheinfelden (Baden),timetable,1.0
de:08435:4547,08005582,Sipplingen Bahnhof,Sipplingen,timetable,1.0
de:08435:4535,08005943,"Nußdorf, Bahnhof",Überlingen-Nußdorf,timetable,1.0
de:08435:14129,08003345,FN-Kluftern Bahnhof,Friedrichshafen-Kluftern,timetable,1.0
de:08435:14039,08002111,"FN Fischbach, Bahnhof",Friedrichshafen-Fischbach,timetable,1.0
de:08435:4505_Parent,08003850,"FN Manzell, Bahnhof",Friedrichshafen Manzell,timetable,1.0
de:08435:4503,08002122,Friedrichshafen Landratsamt,Friedrichshafen Landratsamt,timetable,1.0
de:08215:8301,08003833,Malsch Süd,Malsch Süd,timetable,1.0
de:08216:1850,08004192,Muggensturm Badesee,Muggensturm-Badesee,timetable,1.0
de:08327:1696_Parent,08005911,Trossingen Bahnhof,Trossingen Bahnhof,timetable,1.0
de:08325:1594,08001405,Deißlingen Mitte,Deißlingen Mitte,timetable,1.0
de:08326:6768,08000393,Schwenningen Hammerstatt,Villingen-Schwenningen Hammerstatt,timetable,0.894
de:08326:6586_Parent,08005490,Schwenningen Bahnhof,Schwenningen (Neckar),timetable,0.979
de:08326:8324_Parent,08000356,Schwenningen Eisstadion,Villingen-Schwenningen Eisstadion,timetable,1.0
de:08326:6627,08006667,VS-Zollhaus,Zollhaus (Villingen-Schwenningen),timetable,1.0
de:08326:6752,08003857,Marbach Ost,Marbach Ost Villingen-Schwenningen,timetable,1.0
de:08326:6744,08003854,Marbach West,Marbach West (Villingen-Schwenningen),timetable,1.0
de:08326:6745,08003339,Brigachtal Kirchdorf,Brigachtal Kirchdorf,timetable,1.0
de:08326:6666,08003336,Brigachtal Klengen,Brigachtal Klengen,timetable,1.0
de:08326:6776,08001483,Donaueschingen Grüningen,Donaueschingen Grüningen,timetable,0.936
de:08326:6755_Parent,08001482,Donaueschingen Aufen,Donaueschingen Aufen,timetable,1.0
de:08326:6625,08001485,Donaueschingen Mitte/Siedlung,Donaueschingen Mitte/Siedlung,timetable,1.0
de:08326:6754,08001479,Donaueschingen Allmendshofen,Donaueschingen Allmendshofen,timetable,1.0
de:08326:6701_Parent,08003014,Hüfingen Mitte,Hüfingen Mitte,timetable,1.0
de:08325:20524,08005202,Rottweil Saline Bahnhof,Rottweil Saline,timetable,0.976
de:08327:1908,08003066,Immendingen Zimmern,Immendingen Zimmern,timetable,1.0
de:08327:1247,08003061,Immendingen Mitte,Immendingen Mitte,timetable,1.0
de:08327:1331_Parent,08004067,Möhringen Rathaus,Möhringen Rathaus,timetable,1.0
de:08327:1332,08004068,Möhringen Bahnhof,Möhringen Bahnhof,timetable,1.0
de:08327:1761,08005946,Tuttlingen Gänsäcker,Tuttlingen Gänsäcker,timetable,1.0
de:08327:1795,08005925,Tuttlingen Schulen,Tuttlingen Schulen,timetable,1.0
